Frame,Time (s),Status,Confidence
195,6.5,Crash Detected,"0.46, 0.43"
196,6.53,Crash Detected,"0.48, 0.45"
197,6.57,Crash Detected,"0.49, 0.42"
198,6.6,Crash Detected,"0.46, 0.42"
199,6.63,Crash Detected,"0.48, 0.41"
200,6.67,Crash Detected,"0.48, 0.42"
201,6.7,Crash Detected,"0.41, 0.40"
202,6.73,Crash Detected,"0.42, 0.39"
203,6.77,Crash Detected,"0.45, 0.40"
204,6.8,Crash Detected,"0.48, 0.41"
205,6.83,Crash Detected,"0.45, 0.41"
206,6.87,Crash Detected,"0.47, 0.40"
207,6.9,Crash Detected,"0.46, 0.38"
208,6.93,Crash Detected,"0.45, 0.37"
209,6.97,Crash Detected,"0.44, 0.38"
210,7.0,Crash Detected,"0.45, 0.38"
211,7.03,Crash Detected,"0.46, 0.37"
212,7.07,Crash Detected,"0.44, 0.38"
213,7.1,Crash Detected,"0.43, 0.39"
214,7.13,Crash Detected,"0.40, 0.39"
215,7.17,Crash Detected,"0.39, 0.39"
216,7.2,Crash Detected,"0.41, 0.38"
217,7.23,Crash Detected,"0.42, 0.40"
218,7.27,Crash Detected,"0.45, 0.42"
219,7.3,Crash Detected,"0.48, 0.42"
220,7.33,Crash Detected,"0.46, 0.38"
221,7.37,Crash Detected,"0.52, 0.49"
222,7.4,Crash Detected,"0.53, 0.52"
223,7.43,Crash Detected,"0.45, 0.45"
224,7.47,Crash Detected,"0.48, 0.42"
225,7.5,Crash Detected,"0.48, 0.40"
226,7.53,Crash Detected,"0.51, 0.47"
227,7.57,Crash Detected,"0.45, 0.41"
228,7.6,Crash Detected,"0.46, 0.43"
229,7.63,Crash Detected,"0.47, 0.44"
230,7.67,Crash Detected,"0.53, 0.48"
231,7.7,Crash Detected,"0.50, 0.40"
232,7.73,Crash Detected,"0.53, 0.37"
233,7.77,Crash Detected,"0.57, 0.35"
234,7.8,Crash Detected,"0.56, 0.38"
235,7.83,Crash Detected,"0.51, 0.38"
236,7.87,Crash Detected,"0.48, 0.40"
237,7.9,Crash Detected,"0.51, 0.38"
238,7.93,Crash Detected,"0.54, 0.37"
239,7.97,Crash Detected,"0.63, 0.42"
240,8.0,Crash Detected,"0.65, 0.44"
241,8.03,Crash Detected,"0.72, 0.45"
242,8.07,Crash Detected,"0.72, 0.45"
243,8.1,Crash Detected,"0.72, 0.44"
244,8.13,Crash Detected,"0.69, 0.38"
248,8.27,Crash Detected,"0.81, 0.63"
249,8.3,Crash Detected,"0.81, 0.65"
250,8.33,Crash Detected,"0.82, 0.59"
251,8.37,Crash Detected,"0.70, 0.62"
252,8.4,Crash Detected,"0.69, 0.54"
253,8.43,Crash Detected,"0.59, 0.45"
254,8.47,Crash Detected,"0.59, 0.47"
255,8.5,Crash Detected,"0.61, 0.56"
256,8.53,Crash Detected,"0.63, 0.61"
257,8.57,Crash Detected,"0.61, 0.53"
258,8.6,Crash Detected,"0.50, 0.43"
259,8.63,Crash Detected,"0.49, 0.39"
261,8.7,Crash Detected,"0.48, 0.46"
262,8.73,Crash Detected,"0.43, 0.31"
263,8.77,Crash Detected,"0.46, 0.34"
264,8.8,Crash Detected,"0.52, 0.35"
265,8.83,Crash Detected,"0.41, 0.32"
